CID;Tipo;BTS Name;Direccion;Latitud;Gra;Min;Seg;Longitud;Gra;Min;Seg;Altura;Vector;Tilt;Region
221;GSM;BOG.Orquideas_1;Calle 161A No. 35 - 52;4,741230000;4;44;28,43;-74,041470000;-74;2;29,29;32;350;5;Oriente
222;GSM;BOG.Orquideas_2;Calle 161A No. 35 - 52;4,741230000;4;44;28,43;-74,041470000;-74;2;29,29;14;70;5;Oriente
223;GSM;BOG.Orquideas_3;Calle 161A No. 35 - 52;4,741230000;4;44;28,43;-74,041470000;-74;2;29,29;32;180;9;Oriente
224;GSM;BOG.Orquideas_A;Calle 161A No. 35 - 52;4,741230000;4;44;28,43;-74,041470000;-74;2;29,29;14;350;2;Oriente
225;GSM;BOG.Orquideas_B;Calle 161A No. 35 - 52;4,741230000;4;44;28,43;-74,041470000;-74;2;29,29;14;70;2;Oriente
226;GSM;BOG.Orquideas_C;Calle 161A No. 35 - 52;4,741230000;4;44;28,43;-74,041470000;-74;2;29,29;14;180;5;Oriente
231;GSM;BOG.Retiro-1_1;Carrera 7 No. 78 - 22;4,660050000;4;39;36,18;-74,051300000;-74;3;4,68;45;60;11;Oriente
232;GSM;BOG.Retiro-1_2;Carrera 7 No. 78 - 22;4,660050000;4;39;36,18;-74,051300000;-74;3;4,68;42;160;1;Oriente
233;GSM;BOG.Retiro-1_3;Carrera 7 No. 78 - 22;4,660050000;4;39;36,18;-74,051300000;-74;3;4,68;37;245;7;Oriente
234;GSM;BOG.Retiro-1_A;Carrera 7 No. 78 - 22;4,660050000;4;39;36,18;-74,051300000;-74;3;4,68;45;60;10;Oriente
235;GSM;BOG.Retiro-1_B;Carrera 7 No. 78 - 22;4,660050000;4;39;36,18;-74,051300000;-74;3;4,68;42;100;0;Oriente
236;GSM;BOG.Retiro-1_C;Carrera 7 No. 78 - 22;4,660050000;4;39;36,18;-74,051300000;-74;3;4,68;37;245;5;Oriente
